Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 24 3",1,121,350,150,24,3,100,24,28,100,1,16
3,move,"move 25 29",2,126,350,150,24,3,100,25,29,100,1,16
4,move,"move 0 17",3,131,350,150,24,3,100,25,29,100,0,17
5,dig,"dig 24 2",1,138,350,150,24,3,100,25,29,100,0,17
6,dig,"dig 26 28",2,145,350,150,24,3,100,25,29,100,0,17
7,move,"move 0 16",3,150,350,150,24,3,100,25,29,100,0,16
8,move,"move 24 2",1,155,350,150,24,2,100,25,29,100,0,16
9,dig,"dig 26 29",2,162,350,150,24,2,100,25,29,100,0,16
10,move,"move 1 17",3,167,350,150,24,2,100,25,29,100,1,17
11,nothing,"nothing "Player chose to do nothing"",1,167,350,150,24,2,100,25,29,100,1,17
12,move,"move 25 28",2,172,350,150,24,2,100,25,28,100,1,17
13,move,"move 2 16",3,177,350,150,24,2,100,25,28,100,2,16
14,dig,"dig 25 2",1,184,350,150,24,2,100,25,28,100,2,16
15,move,"move 24 27",2,189,350,150,24,2,100,24,27,100,2,16
16,move,"move 2 15",3,194,350,150,24,2,100,24,27,100,2,15
17,move,"move 25 2",1,199,350,150,25,2,100,24,27,100,2,15
18,nothing,"nothing "Player chose to do nothing"",2,199,350,150,25,2,100,24,27,100,2,15
19,move,"move 1 15",3,204,350,150,25,2,100,24,27,100,1,15
20,nothing,"nothing "Player chose to do nothing"",1,204,350,150,25,2,100,24,27,100,1,15
21,dig,"dig 24 26",2,211,350,150,25,2,100,24,27,100,1,15
22,move,"move 1 16",3,216,350,150,25,2,100,24,27,100,1,16
23,dig,"dig 26 3",1,223,350,150,25,2,100,24,27,100,1,16
24,move,"move 24 28",2,228,350,150,25,2,100,24,28,100,1,16
25,move,"move 1 15",3,233,350,150,25,2,100,24,28,100,1,15
26,nothing,"nothing "Player chose to do nothing"",1,233,350,150,25,2,100,24,28,100,1,15
27,move,"move 23 29",2,238,350,150,25,2,100,23,29,100,1,15
28,move,"move 1 16",3,243,350,150,25,2,100,23,29,100,1,16
29,nothing,"nothing "Player chose to do nothing"",1,243,350,150,25,2,100,23,29,100,1,16
30,nothing,"nothing "Player chose to do nothing"",2,243,350,150,25,2,100,23,29,100,1,16
31,move,"move 2 15",3,248,350,150,25,2,100,23,29,100,2,15
32,nothing,"nothing "Player chose to do nothing"",1,248,350,150,25,2,100,23,29,100,2,15
33,dig,"dig 23 30",2,255,350,150,25,2,100,23,29,100,2,15
34,move,"move 1 16",3,260,350,150,25,2,100,23,29,100,1,16
35,nothing,"nothing "Player chose to do nothing"",1,260,350,150,25,2,100,23,29,100,1,16
36,nothing,"nothing "Player chose to do nothing"",2,260,350,150,25,2,100,23,29,100,1,16
37,move,"move 0 16",3,265,350,150,25,2,100,23,29,100,0,16
38,nothing,"nothing "Player chose to do nothing"",1,265,350,150,25,2,100,23,29,100,0,16
39,nothing,"nothing "Player chose to do nothing"",2,265,350,150,25,2,100,23,29,100,0,16
40,nothing,"nothing "Player chose to do nothing"",3,265,350,150,25,2,100,23,29,100,0,16
41,nothing,"nothing "Player chose to do nothing"",1,265,350,150,25,2,100,23,29,100,0,16
42,nothing,"nothing "Player chose to do nothing"",2,265,350,150,25,2,100,23,29,100,0,16
43,move,"move 1 17",3,270,350,150,25,2,100,23,29,100,1,17
44,nothing,"nothing "Player chose to do nothing"",1,270,350,150,25,2,100,23,29,100,1,17
45,move,"move 23 30",2,275,350,150,25,2,100,23,30,100,1,17
46,dig,"dig 0 18",3,282,350,150,25,2,100,23,30,100,1,17
47,move,"move 24 3",1,287,350,150,24,3,100,23,30,100,1,17
48,move,"move 24 29",2,292,350,150,24,3,100,24,29,100,1,17
49,dig,"dig 1 18",3,299,350,150,24,3,100,24,29,100,1,17
50,move,"move 25 3",1,304,350,150,25,3,100,24,29,100,1,17
51,nothing,"nothing "Player chose to do nothing"",2,304,350,150,25,3,100,24,29,100,1,17
52,move,"move 0 16",3,309,350,150,25,3,100,24,29,100,0,16
53,nothing,"nothing "Player chose to do nothing"",1,309,350,150,25,3,100,24,29,100,0,16
54,move,"move 24 28",2,314,350,150,25,3,100,24,28,100,0,16
55,move,"move 1 16",3,319,350,150,25,3,100,24,28,100,1,16
56,move,"move 25 2",1,324,350,150,25,2,100,24,28,100,1,16
57,move,"move 23 27",2,329,350,150,25,2,100,23,27,100,1,16
58,nothing,"nothing "Player chose to do nothing"",3,329,350,150,25,2,100,23,27,100,1,16
59,move,"move 25 3",1,334,350,150,25,3,100,23,27,100,1,16
60,nothing,"nothing "Player chose to do nothing"",2,334,350,150,25,3,100,23,27,100,1,16
61,move,"move 2 15",3,339,350,150,25,3,100,23,27,100,2,15
62,move,"move 24 3",1,344,350,150,24,3,100,23,27,100,2,15
63,dig,"dig 22 26",2,351,350,150,24,3,100,23,27,100,2,15
64,move,"move 1 15",3,356,350,150,24,3,100,23,27,100,1,15
65,move,"move 25 3",1,361,350,150,25,3,100,23,27,100,1,15
66,move,"move 23 28",2,366,350,150,25,3,100,23,28,100,1,15
67,dig,"dig 2 14",3,373,350,150,25,3,100,23,28,100,1,15
68,move,"move 25 4",1,378,350,150,25,4,100,23,28,100,1,15
69,dig,"dig 22 27",2,385,350,150,25,4,100,23,28,100,1,15
70,move,"move 2 16",3,390,350,150,25,4,100,23,28,100,2,16
71,move,"move 25 5",1,395,350,150,25,5,100,23,28,100,2,16
72,move,"move 23 27",2,400,350,150,25,5,100,23,27,100,2,16
73,move,"move 1 16",3,405,350,150,25,5,100,23,27,100,1,16
74,dig,"dig 26 5",1,405,350,150,25,5,100,23,27,100,1,16
75,nothing,"nothing "Player chose to do nothing"",2,405,350,150,25,5,100,23,27,100,1,16
76,move,"move 1 15",3,410,350,150,25,5,100,23,27,100,1,15
77,dig,"dig 24 6",1,410,350,150,25,5,100,23,27,100,1,15
78,move,"move 24 27",2,409,330,130,25,5,100,24,27,100,1,15
79,dig,"dig 1 14",3,416,330,130,25,5,100,24,27,100,1,15
80,shoot,"shoot S",1,413,322,122,25,5,100,24,27,100,1,15
81,move,"move 24 28",2,415,314,114,25,5,100,24,28,100,1,15
82,move,"move 2 16",3,418,306,106,25,5,100,24,28,100,2,16
83,shoot,"shoot S",1,415,298,98,25,5,100,24,28,100,2,16
84,move,"move 23 28",2,417,290,90,25,5,100,23,28,100,2,16
85,dig,"dig 3 17",3,424,290,90,25,5,100,23,28,100,2,16
86,shoot,"shoot S",1,434,270,70,25,5,100,23,28,100,2,16
87,move,"move 23 29",2,439,270,70,25,5,100,23,29,100,2,16
88,move,"move 2 17",3,444,270,70,25,5,100,23,29,100,2,17
89,shoot,"shoot S",1,437,250,50,25,5,100,23,29,100,2,17
90,dig,"dig 22 29",2,441,242,42,25,5,100,23,29,100,2,17
91,move,"move 2 16",3,446,242,42,25,5,100,23,29,100,2,16
92,shoot,"shoot S",1,462,242,42,25,5,100,23,29,100,2,16
93,move,"move 23 28",2,465,234,34,25,5,100,23,28,100,2,16
94,nothing,"nothing "Player chose to do nothing"",3,465,234,34,25,5,100,23,28,100,2,16
95,shoot,"shoot S",1,481,234,34,25,5,100,23,28,100,2,16
96,move,"move 23 27",2,483,226,26,25,5,100,23,27,100,2,16
97,move,"move 1 15",3,488,226,26,25,5,100,23,27,100,1,15
98,shoot,"shoot S",1,504,226,26,25,5,100,23,27,100,1,15
99,dig,"dig 22 28",2,508,218,18,25,5,100,23,27,100,1,15
100,move,"move 2 15",3,513,218,18,25,5,100,23,27,100,2,15
101,shoot,"shoot S",1,529,218,18,25,5,100,23,27,100,2,15
102,nothing,"nothing "Player chose to do nothing"",2,527,210,10,25,5,100,23,27,100,2,15
103,move,"move 2 14",3,532,210,10,25,5,100,23,27,100,2,14
104,shoot,"shoot S",1,548,210,10,25,5,100,23,27,100,2,14
105,move,"move 22 28",2,550,202,2,25,5,100,22,28,100,2,14
106,dig,"dig 3 14",3,557,202,2,25,5,100,22,28,100,2,14
107,shoot,"shoot W",1,572,200,-6,25,5,100,22,28,100,2,14
108,move,"move 21 27",2,577,200,-6,25,5,100,21,27,100,2,14
109,move,"move 1 14",3,582,200,-6,25,5,100,21,27,100,1,14
110,dig,"dig 20 27",2,589,200,-6,25,5,100,21,27,100,1,14
111,dig,"dig 1 13",3,596,200,-6,25,5,100,21,27,100,1,14
112,move,"move 20 28",2,601,200,-6,25,5,100,20,28,100,1,14
113,move,"move 1 15",3,606,200,-6,25,5,100,20,28,100,1,15
114,move,"move 19 28",2,611,200,-6,25,5,100,19,28,100,1,15
115,move,"move 2 15",3,616,200,-6,25,5,100,19,28,100,2,15
116,move,"move 20 28",2,621,200,-6,25,5,100,20,28,100,2,15
117,dig,"dig 3 15",3,628,200,-6,25,5,100,20,28,100,2,15
118,dig,"dig 19 27",2,635,200,-6,25,5,100,20,28,100,2,15
119,move,"move 2 16",3,640,200,-6,25,5,100,20,28,100,2,16
120,move,"move 21 28",2,645,200,-6,25,5,100,21,28,100,2,16
121,move,"move 2 17",3,650,200,-6,25,5,100,21,28,100,2,17
122,move,"move 22 28",2,655,200,-6,25,5,100,22,28,100,2,17
123,dig,"dig 2 18",3,662,200,-6,25,5,100,22,28,100,2,17
124,move,"move 23 27",2,667,200,-6,25,5,100,23,27,100,2,17
125,move,"move 2 16",3,672,200,-6,25,5,100,23,27,100,2,16
126,move,"move 24 26",2,677,200,-6,25,5,100,24,26,100,2,16
127,move,"move 3 17",3,682,200,-6,25,5,100,24,26,100,3,17
128,nothing,"nothing "Player chose to do nothing"",2,682,200,-6,25,5,100,24,26,100,3,17
129,nothing,"nothing "Player chose to do nothing"",3,682,200,-6,25,5,100,24,26,100,3,17
130,move,"move 25 25",2,687,200,-6,25,5,100,25,25,100,3,17
131,move,"move 2 17",3,692,200,-6,25,5,100,25,25,100,2,17
132,dig,"dig 26 24",2,698,197,-6,25,5,100,25,25,97,2,17
133,nothing,"nothing "Player chose to do nothing"",3,697,194,-6,25,5,100,25,25,94,2,17
134,move,"move 24 25",2,701,191,-6,25,5,100,24,25,91,2,17
135,dig,"dig 3 16",3,707,188,-6,25,5,100,24,25,88,2,17
136,move,"move 25 25",2,711,185,-6,25,5,100,25,25,85,2,17
137,dig,"dig 3 18",3,717,182,-6,25,5,100,25,25,82,2,17
138,dig,"dig 26 26",2,723,179,-6,25,5,100,25,25,79,2,17
139,nothing,"nothing "Player chose to do nothing"",3,722,176,-6,25,5,100,25,25,76,2,17
140,nothing,"nothing "Player chose to do nothing"",2,721,173,-6,25,5,100,25,25,73,2,17
141,nothing,"nothing "Player chose to do nothing"",3,720,170,-6,25,5,100,25,25,70,2,17
142,move,"move 25 24",2,724,167,-6,25,5,100,25,24,67,2,17
143,move,"move 3 18",3,728,164,-6,25,5,100,25,24,64,3,18
144,move,"move 25 25",2,733,164,-6,25,5,100,25,25,64,3,18
145,move,"move 4 18",3,738,164,-6,25,5,100,25,25,64,4,18
146,move,"move 26 24",2,743,164,-6,25,5,100,26,24,64,4,18
147,move,"move 5 17",3,748,164,-6,25,5,100,26,24,64,5,17
148,dig,"dig 27 25",2,755,164,-6,25,5,100,26,24,64,5,17
149,move,"move 5 18",3,760,164,-6,25,5,100,26,24,64,5,18
150,nothing,"nothing "Player chose to do nothing"",2,760,164,-6,25,5,100,26,24,64,5,18
151,move,"move 6 19",3,764,161,-6,25,5,97,26,24,64,6,19
152,nothing,"nothing "Player chose to do nothing"",2,763,158,-6,25,5,94,26,24,64,6,19
153,move,"move 6 20",3,767,155,-6,25,5,91,26,24,64,6,20
154,nothing,"nothing "Player chose to do nothing"",2,766,152,-6,25,5,88,26,24,64,6,20
155,nothing,"nothing "Player chose to do nothing"",3,765,149,-6,25,5,85,26,24,64,6,20
156,nothing,"nothing "Player chose to do nothing"",2,764,146,-6,25,5,82,26,24,64,6,20
157,move,"move 5 20",3,768,143,-6,25,5,79,26,24,64,5,20
158,move,"move 25 24",2,772,140,-6,25,5,76,25,24,64,5,20
159,move,"move 6 19",3,777,140,-6,25,5,76,25,24,64,6,19
160,shoot,"shoot N",2,793,140,-6,25,5,76,25,24,64,6,19
161,move,"move 5 18",3,798,140,-6,25,5,76,25,24,64,5,18
162,shoot,"shoot N",2,812,132,-6,25,5,68,25,24,64,5,18
163,nothing,"nothing "Player chose to do nothing"",3,811,129,-6,25,5,65,25,24,64,5,18
164,shoot,"shoot N",2,826,126,-6,25,5,62,25,24,64,5,18
165,move,"move 6 18",3,827,115,-6,25,5,51,25,24,64,6,18
166,shoot,"shoot N",2,839,104,-6,25,5,40,25,24,64,6,18
167,dig,"dig 7 17",3,845,101,-6,25,5,37,25,24,64,6,18
168,shoot,"shoot N",2,858,90,-6,25,5,26,25,24,64,6,18
169,move,"move 5 18",3,859,79,-6,25,5,15,25,24,64,5,18
170,shoot,"shoot N",2,874,76,-6,25,5,12,25,24,64,5,18
171,move,"move 5 17",3,875,65,-6,25,5,1,25,24,64,5,17
172,shoot,"shoot N",2,931,64,-6,25,5,-10,25,24,64,5,17
