Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,8,28,100,8,4,100,31,16
2,move,"move 9 27",1,121,350,150,9,27,100,8,4,100,31,16
3,move,"move 9 5",2,126,350,150,9,27,100,9,5,100,31,16
4,move,"move 30 17",3,131,350,150,9,27,100,9,5,100,30,17
5,dig,"dig 10 26",1,138,350,150,9,27,100,9,5,100,30,17
6,dig,"dig 10 6",2,145,350,150,9,27,100,9,5,100,30,17
7,dig,"dig 29 17",3,152,350,150,9,27,100,9,5,100,30,17
8,move,"move 10 26",1,157,350,150,10,26,100,9,5,100,30,17
9,move,"move 10 6",2,162,350,150,10,26,100,10,6,100,30,17
10,move,"move 29 17",3,167,350,150,10,26,100,10,6,100,29,17
11,move,"move 11 25",1,172,350,150,11,25,100,10,6,100,29,17
12,move,"move 11 7",2,177,350,150,11,25,100,11,7,100,29,17
13,move,"move 28 17",3,182,350,150,11,25,100,11,7,100,28,17
14,move,"move 12 24",1,187,350,150,12,24,100,11,7,100,28,17
15,move,"move 12 8",2,192,350,150,12,24,100,12,8,100,28,17
16,move,"move 27 17",3,197,350,150,12,24,100,12,8,100,27,17
17,move,"move 13 23",1,202,350,150,13,23,100,12,8,100,27,17
18,move,"move 13 9",2,207,350,150,13,23,100,13,9,100,27,17
19,dig,"dig 26 17",3,214,350,150,13,23,100,13,9,100,27,17
20,move,"move 14 22",1,219,350,150,14,22,100,13,9,100,27,17
21,move,"move 14 10",2,224,350,150,14,22,100,14,10,100,27,17
22,move,"move 26 17",3,229,350,150,14,22,100,14,10,100,26,17
23,move,"move 15 21",1,234,350,150,15,21,100,14,10,100,26,17
24,dig,"dig 14 11",2,241,350,150,15,21,100,14,10,100,26,17
25,dig,"dig 25 17",3,248,350,150,15,21,100,14,10,100,26,17
26,move,"move 16 20",1,253,350,150,16,20,100,14,10,100,26,17
27,move,"move 14 11",2,258,350,150,16,20,100,14,11,100,26,17
28,move,"move 25 17",3,263,350,150,16,20,100,14,11,100,25,17
29,dig,"dig 17 19",1,270,350,150,16,20,100,14,11,100,25,17
30,dig,"dig 14 12",2,277,350,150,16,20,100,14,11,100,25,17
31,dig,"dig 24 17",3,284,350,150,16,20,100,14,11,100,25,17
32,move,"move 17 19",1,289,350,150,17,19,100,14,11,100,25,17
33,move,"move 14 12",2,294,350,150,17,19,100,14,12,100,25,17
34,move,"move 24 17",3,299,350,150,17,19,100,14,12,100,24,17
35,move,"move 18 18",1,304,350,150,18,18,100,14,12,100,24,17
36,move,"move 14 13",2,309,350,150,18,18,100,14,13,100,24,17
37,dig,"dig 23 17",3,316,350,150,18,18,100,14,13,100,24,17
38,move,"move 18 17",1,325,360,160,18,17,100,14,13,100,24,17
39,dig,"dig 14 14",2,332,360,160,18,17,100,14,13,100,24,17
40,move,"move 23 16",3,337,360,160,18,17,100,14,13,100,23,16
41,dig,"dig 17 16",1,344,360,160,18,17,100,14,13,100,23,16
42,move,"move 14 14",2,349,360,160,18,17,100,14,14,100,23,16
43,move,"move 22 15",3,354,360,160,18,17,100,14,14,100,22,15
44,move,"move 17 16",1,359,360,160,17,16,100,14,14,100,22,15
45,move,"move 14 15",2,367,370,160,17,16,110,14,15,100,22,15
46,move,"move 23 14",3,372,370,160,17,16,110,14,15,100,23,14
47,dig,"dig 18 15",1,379,370,160,17,16,110,14,15,100,23,14
48,dig,"dig 15 14",2,386,370,160,17,16,110,14,15,100,23,14
49,move,"move 24 13",3,391,370,160,17,16,110,14,15,100,24,13
50,move,"move 18 15",1,396,370,160,18,15,110,14,15,100,24,13
51,move,"move 15 14",2,401,370,160,18,15,110,15,14,100,24,13
52,move,"move 25 12",3,406,370,160,18,15,110,15,14,100,25,12
53,dig,"dig 19 14",1,413,370,160,18,15,110,15,14,100,25,12
54,dig,"dig 16 13",2,420,370,160,18,15,110,15,14,100,25,12
